"filename", "language", "JavaScript", "Markdown", "HTML", "JSON", "CSS", "XML", "Python", "SQL", "comment", "blank", "total"
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/utils/dailyMentalHealthSlice.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/utils/emotionSlice.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/utils/quoteSlice.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 1, 6, 37
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/utils/recentChatSlice.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 1, 5, 31
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/utils/store.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/utils/userSlice.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/utils/weeklySummarySlice.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/tailwind.config.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 1, 3, 105
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1777, 5, 13, 4943, 760, 2, -1068, -241, -46, 12, 6157
